Country,ISO3_Code,Month,tmin,tmax
Albania,ALB,April,-18,33
Albania,ALB,August,12,41
Albania,ALB,December,-7,25
Albania,ALB,February,-6,27
Albania,ALB,January,-10,20
Albania,ALB,July,13,41
Albania,ALB,June,9,38
Albania,ALB,March,-6,26
Albania,ALB,May,5,36
Albania,ALB,November,-3,31
Albania,ALB,October,0,34
Albania,ALB,September,6,37
Algeria,DZA,April,5,36
Algeria,DZA,August,17,43
Algeria,DZA,December,4,28
Algeria,DZA,February,3,31
Algeria,DZA,January,2,25
Algeria,DZA,July,16,46
Algeria,DZA,June,12,41
Algeria,DZA,March,4,32
Algeria,DZA,May,7,37
Algeria,DZA,November,6,33
Algeria,DZA,October,10,39
Algeria,DZA,September,13,41
Angola,AGO,April,17,38
Angola,AGO,August,13,31
Angola,AGO,December,18,37
Angola,AGO,February,21,37
Angola,AGO,January,18,38
Angola,AGO,July,17,35
Angola,AGO,June,18,32
Angola,AGO,March,21,39
Angola,AGO,May,20,36
Angola,AGO,November,18,34
Angola,AGO,October,19,36
Angola,AGO,September,18,32
Antarctica,ATA,April,-24,13
Antarctica,ATA,August,-29,11
Antarctica,ATA,December,-7,15
Antarctica,ATA,February,-13,18
Antarctica,ATA,January,-7,15
Antarctica,ATA,July,-30,11
Antarctica,ATA,June,-29,13
Antarctica,ATA,March,-18,18
Antarctica,ATA,May,-24,17
Antarctica,ATA,November,-14,13
Antarctica,ATA,October,-23,14
Antarctica,ATA,September,-28,10
Argentina,ARG,April,-6,25
Argentina,ARG,August,-11,24
Argentina,ARG,December,1,27
Argentina,ARG,February,2,28
Argentina,ARG,January,2,28
Argentina,ARG,July,-12,22
Argentina,ARG,June,-13,22
Argentina,ARG,March,-1,27
Argentina,ARG,May,-10,24
Argentina,ARG,November,-2,28
Argentina,ARG,October,-5,28
Argentina,ARG,September,-8,27
Armenia,ARM,April,-7,20
Armenia,ARM,August,4,31
Armenia,ARM,December,-15,16
Armenia,ARM,February,-20,17
Armenia,ARM,January,-19,13
Armenia,ARM,July,3,28
Armenia,ARM,June,3,28
Armenia,ARM,March,-7,16
Armenia,ARM,May,-3,24
Armenia,ARM,November,-10,22
Armenia,ARM,October,-6,28
Armenia,ARM,September,-3,32
Australia,AUS,April,2,40
Australia,AUS,August,7,39
Australia,AUS,December,22,43
Australia,AUS,February,21,40
Australia,AUS,January,21,40
Australia,AUS,July,5,38
Australia,AUS,June,6,37
Australia,AUS,March,14,38
Australia,AUS,May,8,39
Australia,AUS,November,20,42
Australia,AUS,October,17,43
Australia,AUS,September,10,41
Austria,AUT,April,-4,28
Austria,AUT,August,7,36
Austria,AUT,December,-14,15
Austria,AUT,February,-15,20
Austria,AUT,January,-14,18
Austria,AUT,July,9,36
Austria,AUT,June,7,36
Austria,AUT,March,-13,23
Austria,AUT,May,1,32
Austria,AUT,November,-7,22
Austria,AUT,October,0,27
Austria,AUT,September,1,35
Azerbaijan,AZE,April,1,31
Azerbaijan,AZE,August,14,41
Azerbaijan,AZE,December,-4,22
Azerbaijan,AZE,February,-8,22
Azerbaijan,AZE,January,-8,19
Azerbaijan,AZE,July,14,39
Azerbaijan,AZE,June,12,38
Azerbaijan,AZE,March,-5,26
Azerbaijan,AZE,May,7,34
Azerbaijan,AZE,November,-2,29
Azerbaijan,AZE,October,3,30
Azerbaijan,AZE,September,9,38
Bahamas,BHS,April,13,34
Bahamas,BHS,August,19,38
Bahamas,BHS,December,11,31
Bahamas,BHS,February,10,33
Bahamas,BHS,January,12,32
Bahamas,BHS,July,20,36
Bahamas,BHS,June,20,36
Bahamas,BHS,March,12,33
Bahamas,BHS,May,16,34
Bahamas,BHS,November,15,33
Bahamas,BHS,October,18,35
Bahamas,BHS,September,7,35
Bahrain,BHR,April,18,41
Bahrain,BHR,August,29,46
Bahrain,BHR,December,12,30
Bahrain,BHR,February,8,31
Bahrain,BHR,January,10,30
